pool,linkage_method,denoise,lookback_years,rebalance_frequency,drift_threshold,ann_return,ann_vol,sharpe_ratio,sortino_ratio,max_drawdown,ann_turnover,total_friction_costs,total_taxes,rebalance_events
european,ward,False,3,semi-annually,0.03,0.02314592188636122,0.041267026887560135,0.5608817409944915,0.7673291177042266,-0.16085828386994536,0.6884277849542502,512.3862925114659,14726.932320362597,31
european,ward,False,4,monthly,0.0,0.011693217941034506,0.03750759433146161,0.3117560096683183,0.4127785972191117,-0.18392336243186333,0.9986202357211721,713.8665121062231,6610.318640612412,173
european,ward,False,4,monthly,0.015,0.010737843443221928,0.03773365519065679,0.2845693953836924,0.3763926364790916,-0.18278228148460565,0.8260402253612905,590.4972014834578,5278.941290575211,170
european,ward,False,4,monthly,0.03,0.011259998728097909,0.03765621135108755,0.29902102001487485,0.39618979813343824,-0.18324525295848376,0.9396089622186781,671.6821356202514,6204.602500353077,172
european,ward,False,4,quarterly,0.0,0.012081766923319082,0.03745875670102881,0.32253518235396356,0.4281110941372765,-0.18233881711217106,0.7560775193034738,534.3775814050424,6252.2363022651025,58
european,ward,False,4,quarterly,0.015,0.010962861449778538,0.037475423321086505,0.2925346928265385,0.3892381836944872,-0.1847375092184142,0.6345591666169946,448.4913042085618,3797.31708225993,58
european,ward,False,4,quarterly,0.03,0.010544626939801516,0.03785274718158623,0.27856966072282946,0.36972432527489685,-0.1827127486906254,0.6355848888587952,449.2162602570787,4719.930537829675,58
european,ward,False,4,semi-annually,0.0,0.01237952444761703,0.03790986192239533,0.3265515572955384,0.4336116652136064,-0.17932457937993143,0.5540859497174557,384.71238014605547,5141.181955057888,29
european,ward,False,4,semi-annually,0.015,0.013723032643123911,0.03811791951643694,0.3600152583670355,0.478240855208149,-0.17988517798802303,0.47613987371607747,330.5929417505742,4127.364392694477,29
european,ward,False,4,semi-annually,0.03,0.01496636582320865,0.03887609578040066,0.3849760507780703,0.5118381221329392,-0.17935161157996454,0.4618685008782388,320.684057009504,3671.3481423151215,29
